season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,5,3,1,3,1,1,3,33.3,2,2,0,2,3,8,3,0
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,19,12,12,5,2,12,30,40.0,18,11,5,6,10,29,27,0
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,16,9,4,7,5,9,17,52.9,8,18,0,18,6,22,2,0
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,3,1,3,0,0,1,1,100.0,0,9,5,4,7,10,20,0
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,10,5,1,7,2,3,8,37.5,5,7,1,6,2,12,6,2
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,17,11,10,6,1,5,11,45.5,6,2,1,1,11,28,18,0
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,6,2,3,2,1,3,5,60.0,2,3,0,3,3,9,1,0
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,5,3,1,1,3,3,11,27.3,8,7,0,7,3,8,4,0
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,21,11,3,13,5,8,16,50.0,8,6,1,5,6,27,6,0
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,3,0
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,3,3,0,1,2,2,2,100.0,0,3,1,2,1,4,3,0
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,9,6,5,4,0,3,9,33.3,6,5,1,4,3,12,6,0
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,21,10,6,8,7,10,25,40.0,15,7,1,6,2,23,6,2
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,2,0,1,0,1,1,2,50.0,1,1,0,1,1,3,2,0
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,1
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,10,7,8,2,0,2,5,40.0,3,14,10,4,15,25,42,1
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,19,13,12,6,1,10,23,43.5,13,14,4,10,10,29,16,1
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,14,9,10,4,0,5,14,35.7,9,13,5,8,9,23,26,0
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,38,25,18,17,3,22,34,64.7,12,16,5,11,18,56,15,0
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,3,3,0,2,1,0,2,0.0,2,8,1,7,1,4,8,0
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,12,9,5,6,1,7,17,41.2,10,7,0,7,3,15,4,0
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,8,3,2,5,1,4,7,57.1,3,7,0,7,4,12,2,0
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,2,2,2,0,0,1,3,33.3,2,4,2,2,3,5,5,1
2425,Chelsea,Renato Veiga,POR,"DF,MF",21-109,2003,1.9,8,5,5,3,0,4,8,50.0,4,3,1,2,1,9,2,0
2425,Chelsea,Robert Sánchez,ESP,GK,26-363,1997,11.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3
2425,Chelsea,Roméo Lavia,BEL,MF,20-314,2004,3.7,11,5,4,6,1,5,11,45.5,6,4,0,4,7,18,5,0
2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-052,1997,1.9,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,8,0
2425,Chelsea,Wesley Fofana,FRA,DF,23-334,2000,9.6,10,9,4,6,0,4,9,44.4,5,14,9,5,12,22,46,1
2425,Crystal Palace,Adam Wharton,ENG,MF,20-166,2004,6.9,18,10,9,9,0,9,26,34.6,17,5,0,5,10,28,13,0
2425,Crystal Palace,Asher Agbinone,ENG,MF,19-048,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
2425,Crystal Palace,Caleb Kporha,ENG,DF,18-123,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2425,Crystal Palace,Chadi Riad,MAR,DF,21-151,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-312,2000,1.5,6,3,1,4,1,1,4,25.0,3,2,0,2,3,9,1,0
2425,Crystal Palace,Chris Richards,USA,DF,24-232,2000,3.8,10,5,5,4,1,6,11,54.5,5,7,1,6,3,13,17,0
2425,Crystal Palace,Daichi Kamada,JPN,MF,28-102,1996,6.9,19,9,6,11,2,5,16,31.3,11,9,2,7,7,26,8,0
2425,Crystal Palace,Daniel Muñoz,COL,"DF,MF",28-173,1996,10.0,38,27,20,13,5,15,27,55.6,12,11,1,10,12,50,31,0
2425,Crystal Palace,Dean Henderson,ENG,GK,27-248,1997,11.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,8,0
2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-139,1998,9.0,15,8,6,7,2,6,14,42.9,8,6,0,6,3,18,3,1
2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-169,1999,5.4,8,3,3,2,3,3,7,42.9,4,5,0,5,1,9,5,0
2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-264,1998,5.4,2,1,0,1,1,0,6,0.0,6,6,0,6,3,5,4,0
2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-140,1997,8.4,2,1,0,1,1,0,4,0.0,4,5,0,5,0,2,7,0
2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-021,1994,4.6,4,2,1,2,1,3,6,50.0,3,9,4,5,7,11,9,0
2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31-328,1992,0.8,2,0,1,0,1,0,1,0.0,1,3,0,3,0,2,2,0
2425,Crystal Palace,Joachim Andersen,DEN,DF,28-168,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0
2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-065,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
2425,Crystal Palace,Justin Devenny,NIR,MF,21-035,2003,0.8,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,1,0
2425,Crystal Palace,Marc Guéhi,ENG,DF,24-125,2000,11.0,13,7,9,4,0,7,11,63.6,4,22,12,10,8,21,66,1
2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-223,2000,8.0,13,8,11,1,1,4,11,36.4,7,12,5,7,14,27,34,1
2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-224,1991,3.3,10,6,7,2,1,5,6,83.3,1,2,1,1,3,13,10,1
