season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,0.3,13,10,2,0,0,0,3,1,1,1,0,0,6,1,0
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,7.8,324,305,18,7,1,1,9,2,6,2,1,0,270,1,6
2425,Bournemouth,Tyler Adams,USA,MF,25-275,1999,1.1,48,46,2,2,0,0,0,0,0,0,0,0,38,0,2
2425,Brentford,Ben Mee,ENG,"DF,FW",35-055,1989,0.1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
2425,Brentford,Bryan Mbeumo,CMR,FW,25-100,1999,10.9,361,316,43,10,4,2,48,7,22,16,1,0,252,2,15
2425,Brentford,Christian Nørgaard,DEN,MF,30-250,1994,8.6,368,357,8,3,1,0,1,5,0,0,0,0,297,3,7
2425,Brentford,Ethan Pinnock,JAM,DF,31-170,1993,11.0,610,544,66,6,0,0,4,22,0,0,0,0,519,0,5
2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-077,2002,3.2,104,92,11,3,0,0,6,1,5,2,0,0,69,1,6
2425,Brentford,Frank Onyeka,NGA,MF,26-319,1998,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
2425,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-267,2001,8.5,227,208,16,3,0,3,22,12,0,0,0,0,175,3,10
2425,Brentford,Kevin Schade,GER,"FW,MF",22-354,2001,5.4,107,102,5,0,0,1,10,3,0,0,0,0,60,0,4
2425,Brentford,Kristoffer Ajer,NOR,DF,26-212,1998,7.1,300,267,32,2,0,3,5,30,0,0,0,0,236,1,10
2425,Brentford,Mads Roerslev,DEN,DF,25-144,1999,5.0,251,222,29,1,0,1,13,28,0,0,0,0,201,0,6
