season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,0,0,0,2,1,0,0,1,1,0,0,0,1,2,0,100.0
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,1,0,0,5,3,0,1,1,3,0,0,0,11,4,2,66.7
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,3,0,0,4,26,6,49,3,6,0,0,0,40,0,2,0.0
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,1,0,0,6,11,0,16,2,10,0,0,0,36,3,9,25.0
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,1,0,0,1,1,0,2,0,1,1,0,0,16,0,1,0.0
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,1,0,0,1,7,0,0,1,0,0,0,0,8,1,1,50.0
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,3,0,0,14,9,1,0,15,7,0,1,0,35,17,15,53.1
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,2,0,0,9,6,0,21,10,13,0,0,0,35,3,6,33.3
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,6,0,0,8,13,1,9,9,9,0,0,0,34,10,18,35.7
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,2,0,0,22,17,0,5,18,25,0,0,0,59,11,6,64.7
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,4,0,0,10,11,6,1,1,3,0,0,0,13,5,16,23.8
