season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,3,2,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,4,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,9,7,617,6.9,1,1,2,1,0,0,1,0,0.9,0.9,0.5,1.4,9,37,4,0.15,0.15,0.29,0.15,0.29,0.13,0.07,0.21,0.13,0.21
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,11,11,929,10.3,6,2,8,6,0,0,1,0,5.1,5.1,0.5,5.6,8,23,41,0.58,0.19,0.78,0.58,0.78,0.49,0.05,0.54,0.49,0.54
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,6,1,105,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,1,3,0.86,0.0,0.86,0.86,0.86,0.13,0.0,0.13,0.13,0.13
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,10,8,603,6.7,2,2,4,2,0,0,1,0,2.0,2.0,1.3,3.3,15,36,38,0.3,0.3,0.6,0.3,0.6,0.3,0.2,0.49,0.3,0.49
2425,Brighton,Igor,BRA,DF,26-282,1998,6,4,476,5.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,7,20,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,10,10,840,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,10,31,27,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
2425,Brighton,James Milner,ENG,MF,38-316,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,9,8,729,8.1,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,9,67,0,0.0,0.12,0.12,0.0,0.12,0.01,0.06,0.07,0.01,0.07
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,5,3,307,3.4,3,1,4,3,0,0,1,0,1.4,1.4,0.7,2.1,15,16,17,0.88,0.29,1.17,0.88,1.17,0.4,0.22,0.62,0.4,0.62
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,10,10,866,9.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,18,33,17,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,7,0,91,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,5,7,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.37,0.17,0.37
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,11,10,915,10.2,1,2,3,1,0,0,0,0,2.6,2.6,2.7,5.2,59,33,118,0.1,0.2,0.3,0.1,0.3,0.25,0.26,0.52,0.25,0.52
