season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
2425,West Ham,Guido Rodríguez,ARG,MF,30-217,1994,8.9,0,6,1,16.7,0.68,0.11,0.0,0.0,30.5,0,0,0,0.1,0.1,0.01,-0.1,-0.1
2425,West Ham,James Ward-Prowse,ENG,MF,30-014,1994,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,West Ham,Jarrod Bowen,ENG,"MF,FW",27-331,1996,10.7,3,23,9,39.1,2.14,0.84,0.09,0.22,20.2,0,1,1,1.9,1.2,0.05,1.1,0.8
2425,West Ham,Jean-Clair Todibo,FRA,DF,24-321,1999,5.6,0,2,0,0.0,0.36,0.0,0.0,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2425,West Ham,Konstantinos Mavropanos,GRE,DF,26-340,1997,7.2,0,6,1,16.7,0.83,0.14,0.0,0.0,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2425,West Ham,Lucas Paquetá,BRA,MF,27-080,1997,9.0,2,13,2,15.4,1.44,0.22,0.08,0.5,20.5,1,1,1,2.1,1.3,0.1,-0.1,-0.3
2425,West Ham,Luis Guilherme,BRA,MF,18-280,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,West Ham,Max Kilman,ENG,DF,27-176,1997,11.0,0,4,0,0.0,0.36,0.0,0.0,,7.4,0,0,0,0.7,0.7,0.16,-0.7,-0.7
2425,West Ham,Michail Antonio,JAM,FW,34-232,1990,7.4,1,17,4,23.5,2.29,0.54,0.06,0.25,12.8,0,0,0,1.9,1.9,0.11,-0.9,-0.9
2425,West Ham,Mohammed Kudus,GHA,"MF,FW",24-105,2000,7.4,2,27,10,37.0,3.67,1.36,0.07,0.2,14.9,0,0,0,2.8,2.8,0.1,-0.8,-0.8
2425,West Ham,Niclas Füllkrug,GER,FW,31-280,1993,0.7,0,2,1,50.0,2.73,1.36,0.0,0.0,12.7,0,0,0,0.3,0.3,0.13,-0.3,-0.3
2425,West Ham,Tomáš Souček,CZE,MF,29-262,1995,7.3,2,17,3,17.6,2.34,0.41,0.12,0.67,11.1,0,0,0,2.0,2.0,0.13,0.0,0.0
2425,West Ham,Vladimír Coufal,CZE,DF,32-085,1992,2.5,0,1,0,0.0,0.4,0.0,0.0,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
2425,West Ham,Łukasz Fabiański,POL,GK,39-211,1985,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Wolves,André,BRA,MF,23-122,2001,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2425,Wolves,Carlos Forbs,POR,"MF,FW",20-241,2004,2.0,0,1,0,0.0,0.5,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
2425,Wolves,Chiquinho,POR,MF,24-284,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Wolves,Craig Dawson,ENG,DF,34-193,1990,8.3,0,4,1,25.0,0.48,0.12,0.0,0.0,8.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
2425,Wolves,Daniel Podence,POR,"MF,FW",29-025,1995,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0
2425,Wolves,Gonçalo Guedes,POR,"FW,MF",27-352,1996,1.4,0,2,1,50.0,1.4,0.7,0.0,0.0,18.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
