season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
2425,Brentford,Kristoffer Ajer,NOR,DF,26-212,1998,7.1,7,0.99,7,0,0,0,0,0,2,0.28,2,0,0,0,0,0
2425,Brentford,Mads Roerslev,DEN,DF,25-144,1999,5.0,11,2.21,10,0,1,0,0,0,1,0.2,1,0,0,0,0,0
2425,Brentford,Mark Flekken,NED,GK,31-155,1993,11.0,1,0.09,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Mathias Jensen,DEN,MF,28-319,1996,3.9,15,3.88,11,3,1,0,0,0,3,0.78,1,1,1,0,0,0
2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-135,2000,8.8,33,3.76,24,5,1,0,1,2,8,0.91,5,2,0,0,1,0
2425,Brentford,Nathan Collins,IRL,DF,23-199,2001,11.0,13,1.18,7,2,1,2,1,0,4,0.36,1,1,0,1,1,0
2425,Brentford,Ryan Trevitt,ENG,MF,21-248,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,8.1,6,0.74,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,10.0,16,1.59,15,1,0,0,0,0,3,0.3,3,0,0,0,0,0
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,1.6,3,1.89,3,0,0,0,0,0,2,1.26,2,0,0,0,0,0
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,6.3,15,2.39,12,0,1,0,2,0,3,0.48,3,0,0,0,0,0
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,0.9,1,1.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9.0,1,0.11,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,0.7,2,2.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,6.9,19,2.78,16,0,1,1,0,1,1,0.15,0,0,0,0,0,1
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,10.3,24,2.33,16,0,3,1,4,0,3,0.29,3,0,0,0,0,0
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,6.7,27,4.02,18,0,3,4,2,0,3,0.45,2,0,1,0,0,0
2425,Brighton,Igor,BRA,DF,26-282,1998,5.3,2,0.38,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,9.3,20,2.15,14,4,0,1,1,0,2,0.21,2,0,0,0,0,0
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,0.1,1,18.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,James Milner,ENG,MF,38-316,1986,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,8.1,15,1.85,14,0,0,1,0,0,1,0.12,1,0,0,0,0,0
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,10,2.93,8,0,1,0,1,0,2,0.59,2,0,0,0,0,0
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,10,1.04,5,1,1,1,2,0,1,0.1,0,1,0,0,0,0
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,9,9.0,4,1,2,0,2,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,35,3.44,27,0,2,3,2,1,6,0.59,5,0,0,0,1,0
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,8,1.02,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,6,2.27,6,0,0,0,0,0,1,0.38,1,0,0,0,0,0
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,2,5.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,14,2.41,9,5,0,0,0,0,2,0.34,2,0,0,0,0,0
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,8,3.51,6,0,1,1,0,0,2,0.88,2,0,0,0,0,0
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,1,8.18,1,0,0,0,0,0,1,8.18,1,0,0,0,0,0
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,15,3.33,7,2,4,1,1,0,3,0.67,1,0,1,1,0,0
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,20,3.66,7,5,2,2,3,1,1,0.18,1,0,0,0,0,0
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,13,7.18,9,0,3,1,0,0,1,0.55,0,0,1,0,0,0
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,55,5.19,37,6,6,4,2,0,7,0.66,6,0,1,0,0,0
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,21,3.09,19,0,0,1,0,1,4,0.59,4,0,0,0,0,0
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,14,4.13,13,0,0,0,1,0,6,1.77,5,0,0,0,1,0
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,4,2.93,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,1,1.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,14,1.27,11,2,0,0,0,1,1,0.09,0,0,0,0,0,1
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,12,1.49,12,0,0,0,0,0,1,0.12,1,0,0,0,0,0
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,11,1.34,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,27,2.49,26,0,0,0,0,1,4,0.37,4,0,0,0,0,0
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,25,2.6,19,0,4,0,2,0,5,0.52,5,0,0,0,0,0
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,24,2.86,15,0,5,2,2,0,3,0.36,1,0,0,1,1,0
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,27,4.35,20,1,4,0,2,0,5,0.81,3,0,2,0,0,0
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,3,1.12,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Renato Veiga,POR,"DF,MF",21-109,2003,1.9,1,0.53,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Robert Sánchez,ESP,GK,26-363,1997,11.0,2,0.18,1,1,0,0,0,0,1,0.09,0,1,0,0,0,0
2425,Chelsea,Roméo Lavia,BEL,MF,20-314,2004,3.7,6,1.6,6,0,0,0,0,0,1,0.27,1,0,0,0,0,0
2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-052,1997,1.9,2,1.05,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Chelsea,Wesley Fofana,FRA,DF,23-334,2000,9.6,10,1.04,8,1,1,0,0,0,0,0.0,0,0,0,0,0,0
