season,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,422,315,419,3,0,0,422,1,1,100.0,0,0.0,267,1410,819,0,0,0,1,0,219,0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,561,53,248,267,49,7,561,7,4,57.1,3,42.9,355,1882,943,8,7,1,4,0,399,5
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,135,5,31,55,51,7,135,6,2,33.3,4,66.7,63,327,184,5,4,2,4,3,68,15
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,323,6,55,111,163,28,323,22,16,72.7,6,27.3,231,1575,761,28,17,11,11,7,258,54
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,2.2,71,3,13,22,36,6,71,6,1,16.7,2,33.3,41,262,99,2,3,3,3,1,44,9
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,3.2,135,8,19,57,61,22,135,10,3,30.0,7,70.0,74,266,123,3,1,0,7,10,98,17
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,6.1,240,5,38,108,95,15,240,12,6,50.0,3,25.0,122,723,328,12,4,2,8,9,166,27
2425,Aston Villa,Kosta Nedeljković,SRB,DF,18-335,2005,1.1,49,4,10,24,15,0,49,2,1,50.0,1,50.0,20,75,28,1,0,0,1,0,23,0
2425,Aston Villa,Lamare Bogarde,NED,DF,20-315,2004,1.9,117,6,31,71,16,0,117,2,1,50.0,0,0.0,72,326,157,3,3,0,2,5,79,5
2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-098,1997,5.6,231,10,40,59,137,23,231,19,7,36.8,7,36.8,148,952,489,22,6,11,18,14,165,42
2425,Aston Villa,Lucas Digne,FRA,DF,31-118,1993,9.3,559,33,200,146,217,9,559,7,3,42.9,4,57.1,278,1114,448,5,4,1,5,6,313,48
2425,Aston Villa,Matty Cash,POL,DF,27-100,1997,4.7,269,20,99,122,51,4,269,5,4,80.0,1,20.0,133,802,420,8,10,0,4,2,147,7
2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-112,2002,10.0,380,12,55,175,160,41,380,42,18,42.9,18,42.9,225,1489,900,30,20,8,30,26,256,56
2425,Aston Villa,Ollie Watkins,ENG,FW,28-321,1995,9.3,198,2,8,65,126,52,198,16,2,12.5,12,75.0,131,583,269,15,11,10,22,20,166,51
2425,Aston Villa,Pau Torres,ESP,DF,27-304,1997,11.0,712,93,298,369,47,7,712,12,11,91.7,1,8.3,477,2983,1940,21,12,0,3,3,519,4
